Absorption and Emission cross sections are only a function of host glass composition,,
Yb-doped Germanosilicate Fiber Cross-sections,,
From R. Paschotta (www.rp-photonics.com),,
,,
Yb absorption and emission Cross-Sections for germanosilicate fibers,,
m,m^2,m^2
wavelength,absorption,emission
1.0845E-06,6.6372E-27,2.2961E-25
1.0850E-06,6.6372E-27,2.2799E-25
1.0855E-06,6.6372E-27,2.2636E-25
1.0860E-06,6.6372E-27,2.2473E-25
1.0865E-06,6.6372E-27,2.2311E-25
1.0870E-06,6.6372E-27,2.2148E-25
1.0875E-06,6.6372E-27,2.1986E-25
1.0880E-06,6.6372E-27,2.1823E-25
1.0885E-06,6.6372E-27,2.1660E-25
1.0890E-06,6.6372E-27,2.1498E-25
1.0895E-06,6.6372E-27,2.1335E-25
1.0900E-06,6.6372E-27,2.1173E-25
1.0905E-06,6.6372E-27,2.1010E-25
1.0910E-06,6.6372E-27,2.0847E-25
1.0915E-06,6.6372E-27,2.0685E-25
1.0920E-06,6.6372E-27,2.0513E-25
1.0925E-06,6.6372E-27,2.0324E-25
1.0930E-06,6.6372E-27,2.0134E-25
1.0935E-06,6.6372E-27,1.9944E-25
1.0940E-06,6.6372E-27,1.9754E-25
1.0945E-06,6.6372E-27,1.9565E-25
1.0950E-06,6.6372E-27,1.9375E-25
1.0955E-06,6.6372E-27,1.9194E-25
1.0960E-06,6.6372E-27,1.9032E-25
1.0965E-06,6.6372E-27,1.8869E-25
1.0970E-06,6.6372E-27,1.8706E-25
1.0975E-06,6.6372E-27,1.8544E-25
1.0980E-06,6.6372E-27,1.8381E-25
1.0985E-06,6.6372E-27,1.8219E-25
1.0990E-06,6.6372E-27,1.8056E-25
1.0995E-06,6.6372E-27,1.7893E-25
1.1000E-06,6.6372E-27,1.7731E-25
1.1005E-06,6.6372E-27,1.7568E-25
1.1010E-06,6.6372E-27,1.7405E-25
1.1015E-06,6.6372E-27,1.7243E-25
1.1020E-06,6.6372E-27,1.7080E-25
1.1025E-06,6.6372E-27,1.6918E-25
1.1030E-06,6.6372E-27,1.6755E-25
1.1035E-06,6.6372E-27,1.6592E-25
1.1040E-06,6.6372E-27,1.6403E-25
1.1045E-06,6.6372E-27,1.6213E-25
1.1050E-06,6.6372E-27,1.6023E-25
1.1055E-06,6.6372E-27,1.5834E-25
1.1060E-06,6.6372E-27,1.5644E-25
1.1065E-06,6.6372E-27,1.5454E-25
1.1070E-06,6.6372E-27,1.5264E-25
1.1075E-06,6.6372E-27,1.5037E-25
1.1080E-06,6.6372E-27,1.4809E-25
1.1085E-06,6.6372E-27,1.4581E-25
1.1090E-06,6.6372E-27,1.4354E-25
1.1095E-06,6.6372E-27,1.4126E-25
1.1100E-06,6.6372E-27,1.3905E-25
1.1105E-06,6.6372E-27,1.3715E-25
1.1110E-06,6.6372E-27,1.3525E-25
1.1115E-06,6.6372E-27,1.3336E-25
1.1120E-06,6.6372E-27,1.3146E-25
1.1125E-06,6.6372E-27,1.2956E-25
1.1130E-06,6.6372E-27,1.2767E-25
1.1135E-06,6.6372E-27,1.2582E-25
1.1140E-06,6.6372E-27,1.2419E-25
1.1145E-06,6.6372E-27,1.2256E-25
1.1150E-06,6.6372E-27,1.2094E-25
1.1155E-06,6.6372E-27,1.1931E-25
1.1160E-06,6.6372E-27,1.1769E-25
1.1165E-06,6.6372E-27,1.1606E-25
1.1170E-06,6.6372E-27,1.1443E-25
1.1175E-06,6.6372E-27,1.1281E-25
1.1180E-06,6.6372E-27,1.1118E-25
1.1185E-06,6.6372E-27,1.0956E-25
1.1190E-06,6.6372E-27,1.0793E-25
1.1195E-06,6.6372E-27,1.0630E-25
1.1200E-06,6.6372E-27,1.0468E-25
1.1205E-06,6.6372E-27,1.0305E-25
1.1210E-06,6.6372E-27,1.0143E-25
1.1215E-06,6.6372E-27,9.9799E-26
1.1220E-06,6.6372E-27,9.8346E-26
1.1225E-06,6.6372E-27,9.6923E-26
1.1230E-06,6.6372E-27,9.5501E-26
1.1235E-06,6.6372E-27,9.4078E-26
1.1240E-06,6.6372E-27,9.2655E-26
1.1245E-06,6.6372E-27,9.1232E-26
1.1250E-06,6.6372E-27,8.9809E-26
1.1255E-06,6.6372E-27,8.8386E-26
1.1260E-06,6.6372E-27,8.6964E-26
1.1265E-06,6.6372E-27,8.5541E-26
1.1270E-06,6.6372E-27,8.4118E-26
1.1275E-06,6.6372E-27,8.2695E-26
1.1280E-06,6.6372E-27,8.1272E-26
1.1285E-06,6.6372E-27,7.9849E-26
1.1290E-06,6.6372E-27,7.8426E-26
1.1295E-06,6.6372E-27,7.7004E-26
1.1300E-06,6.6372E-27,7.5581E-26
1.1305E-06,6.6372E-27,7.4158E-26
1.1310E-06,6.6372E-27,7.2790E-26
1.1315E-06,6.6372E-27,7.1652E-26
1.1320E-06,6.6372E-27,7.0513E-26
1.1325E-06,6.6372E-27,6.9375E-26
1.1330E-06,6.6372E-27,6.8237E-26
1.1335E-06,6.6372E-27,6.7098E-26
1.1340E-06,6.6372E-27,6.5960E-26
1.1345E-06,6.6372E-27,6.4822E-26
1.1350E-06,6.6372E-27,6.3684E-26
1.1355E-06,6.6372E-27,6.2545E-26
1.1360E-06,6.6372E-27,6.1407E-26
1.1365E-06,6.6372E-27,6.0269E-26
