Absorption and Emission cross sections are only a function of host glass composition,,
Fiber used for Measurement (for data traceability purposes):,,
Fiber ID: 10-A1307-10-3B-13-01,,
Part Number: LMA-YDF-25/250-VIII,,
Yb absorption and emission Cross-Sections for Gen VIII glass,,
m,m^2,m^2
wavelength,absorption,emission
8.8920E-07,2.8020E-25,2.0000E-27
8.8940E-07,2.8170E-25,2.0000E-27
8.8960E-07,2.8340E-25,2.1000E-27
8.8980E-07,2.8690E-25,2.1000E-27
8.9000E-07,2.8870E-25,2.2000E-27
8.9020E-07,2.9220E-25,2.2000E-27
8.9040E-07,2.9220E-25,2.2000E-27
8.9060E-07,2.9570E-25,2.3000E-27
8.9080E-07,2.9910E-25,2.4000E-27
8.9100E-07,2.9910E-25,2.4000E-27
8.9120E-07,3.0260E-25,2.4000E-27
8.9140E-07,3.0580E-25,2.5000E-27
8.9160E-07,3.0760E-25,2.5000E-27
8.9180E-07,3.0930E-25,2.6000E-27
8.9200E-07,3.1280E-25,2.6000E-27
8.9220E-07,3.1460E-25,2.7000E-27
8.9240E-07,3.1800E-25,2.8000E-27
8.9260E-07,3.2150E-25,2.8000E-27
8.9280E-07,3.2330E-25,2.9000E-27
8.9300E-07,3.2650E-25,2.9000E-27
8.9320E-07,3.3000E-25,3.0000E-27
8.9340E-07,3.3350E-25,3.1000E-27
8.9360E-07,3.3700E-25,3.2000E-27
8.9380E-07,3.3700E-25,3.2000E-27
8.9400E-07,3.4040E-25,3.3000E-27
8.9420E-07,3.4220E-25,3.3000E-27
8.9440E-07,3.4540E-25,3.4000E-27
8.9460E-07,3.4890E-25,3.5000E-27
8.9480E-07,3.5060E-25,3.5000E-27
8.9500E-07,3.5240E-25,3.6000E-27
8.9520E-07,3.5590E-25,3.7000E-27
8.9540E-07,3.5930E-25,3.8000E-27
8.9560E-07,3.6280E-25,3.8000E-27
8.9580E-07,3.6600E-25,3.9000E-27
8.9600E-07,3.6950E-25,4.0000E-27
8.9620E-07,3.7130E-25,4.1000E-27
8.9640E-07,3.7480E-25,4.2000E-27
8.9660E-07,3.8000E-25,4.3000E-27
8.9680E-07,3.8170E-25,4.3000E-27
8.9700E-07,3.8350E-25,4.4000E-27
8.9720E-07,3.8840E-25,4.5000E-27
8.9740E-07,3.8840E-25,4.6000E-27
8.9760E-07,3.9370E-25,4.7000E-27
8.9780E-07,3.9540E-25,4.8000E-27
8.9800E-07,3.9540E-25,4.8000E-27
8.9820E-07,4.0060E-25,5.0000E-27
8.9840E-07,4.0410E-25,5.1000E-27
8.9860E-07,4.0590E-25,5.2000E-27
8.9880E-07,4.1080E-25,5.3000E-27
8.9900E-07,4.1260E-25,5.4000E-27
8.9920E-07,4.1610E-25,5.5000E-27
8.9940E-07,4.1950E-25,5.6000E-27
8.9960E-07,4.2300E-25,5.7000E-27
8.9980E-07,4.2480E-25,5.8000E-27
9.0000E-07,4.2800E-25,5.9000E-27
9.0020E-07,4.3150E-25,6.0000E-27
9.0040E-07,4.3150E-25,6.1000E-27
